#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Nov 06 19:12:41 EST 2016,96,96,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest0+ DelEdgeTest1+ DelEdgeTest2+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ TopoSortTest0+ TopoSortTest1+ TopoSortTest2+ TopoSortTest3+ TopoSortTest5+ TopoSortTest7+ TopoSortTestX+ , ,TopoSortTest6- , ,
1,Sun Nov 06 19:41:57 EST 2016,96,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest7 TopoSortTestX , ,TopoSortTest6 , ,
2,Wed Nov 09 23:59:50 EST 2016,96,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest7 TopoSortTestX , ,TopoSortTest6 , ,
3,Thu Nov 10 00:24:07 EST 2016,73,-23,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest6+ , ,TopoSortTest0- TopoSortTest1- TopoSortTest2- TopoSortTest3- TopoSortTest5- TopoSortTest7- TopoSortTestX- , ,
4,Thu Nov 10 00:26:43 EST 2016,96,23,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0+ TopoSortTest1+ TopoSortTest2+ TopoSortTest3+ TopoSortTest5+ TopoSortTest7+ TopoSortTestX+ , ,TopoSortTest6- , ,
5,Thu Nov 10 01:24:55 EST 2016,100,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest6+ TopoSortTest7 TopoSortTestX , , , ,
6,Thu Nov 10 15:07:48 EST 2016,100,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest6 TopoSortTest7 TopoSortTestX , , , ,
7,Thu Nov 10 15:13:35 EST 2016,100,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest6 TopoSortTest7 TopoSortTestX , , , ,
8,Thu Nov 10 16:15:55 EST 2016,100,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest5 TopoSortTest6 TopoSortTest7 TopoSortTestX , , , ,
9,Thu Nov 10 16:28:14 EST 2016,53,-47,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2- DelNodeTest2- NumEdgeTest0- NumEdgeTest1- NumNodeTest0- NumNodeTest1- TopoSortTest0- TopoSortTest1- TopoSortTest2- TopoSortTest3- TopoSortTest7- TopoSortTestX- , ,
